,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-01-1,19.6,30.2,0.8,7.2,8.9,NE,31,13:47,26.6,61,6,NE,13,1016.3,28.0,52,7,NE,22,1013.1
,2013-01-2,20.6,32.4,0,8.0,13.1,SSE,35,23:30,27.9,56,1,N,15,1011.4,31.2,54,1,NNE,22,1008.1
,2013-01-3,23.4,29.0,0,11.8,11.7,E,48,13:54,28.0,50,3,SE,22,1015.2,27.0,53,1,ESE,30,1013.2
,2013-01-4,21.7,28.6,0,10.8,12.1,ESE,39,13:16,26.5,52,5,SE,17,1016.1,27.2,45,2,ESE,20,1014.3
,2013-01-5,22.3,28.1,0,9.8,6.1,E,39,12:44,24.5,66,6,SE,17,1017.1,26.1,60,5,ENE,19,1015.8
,2013-01-6,22.4,28.8,0.2,7.4,6.5,ESE,37,13:04,24.5,77,6,SSE,11,1018.4,28.0,53,6,ESE,19,1017.6
,2013-01-7,23.9,29.6,0,8.8,8.9,ESE,41,10:17,27.0,55,7,ESE,22,1019.5,27.5,49,7,SE,22,1017.2
,2013-01-8,20.9,30.0,0,10.4,11.2,N,48,21:54,26.2,60,6,NE,15,1013.9,28.5,52,1,NNE,30,1008.4
,2013-01-9,22.0,31.0,0,8.8,12.6,NNE,59,15:45,28.7,54,1,N,17,1004.8,28.6,67,2,NNE,44,999.2
,2013-01-10,24.0,30.9,0,10.0,11.1,NNE,35,11:46,27.7,67,5,NE,19,1006.2,30.0,58,7,NE,22,1006.2
,2013-01-11,25.6,32.0,0,9.8,11.4,NNE,43,03:45,29.0,70,5,N,19,1012.2,31.3,58,3,NNE,31,1010.2
,2013-01-12,26.1,31.8,0,9.4,9.8,NNE,48,15:15,28.8,66,1,N,22,1013.1,29.6,69,1,NNE,33,1009.6
,2013-01-13,25.0,31.6,0,9.8,12.9,N,50,21:56,29.0,64,1,N,20,1011.4,28.6,68,1,NNE,35,1008.2
,2013-01-14,24.0,29.8,0,10.8,3.1,SE,52,16:29,27.7,61,7,ESE,9,1009.0,25.7,69,7,SE,26,1009.4
,2013-01-15,21.3,29.2,0,6.6,6.3,SSE,39,01:51,24.3,62,7,SSE,15,1016.8,26.5,53,6,ESE,20,1014.7
,2013-01-16,20.4,29.2,1.0,6.8,12.3,NNE,33,12:31,26.7,50,3,ESE,9,1015.5,27.0,53,2,NE,20,1013.3
,2013-01-17,19.2,29.3,0,7.8,11.5,NE,35,12:05,26.4,52,4,NE,13,1013.6,28.2,48,1,NE,22,1010.6
,2013-01-18,21.3,30.7,0,7.6,12.3,NNE,44,18:14,27.1,57,1,N,17,1011.7,28.2,59,1,NNE,33,1007.1
,2013-01-19,23.0,31.5,0,10.2,11.2,NNE,46,13:14,28.7,56,5,NNW,13,1008.9,29.5,67,1,NNE,31,1006.2
