,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2013-01-20,24.3,30.9,1.8,8.4,10.8,NNE,35,13:24,28.4,59,3,ENE,9,1012.8,29.2,57,2,NE,24,1010.3
,2013-01-21,22.2,29.8,5.8,9.4,6.1,ENE,30,10:59,26.6,71,6,SW,7,1012.5,28.1,56,7,ENE,15,1010.0
,2013-01-22,21.4,29.7,3.8,6.4,8.8,NE,35,13:06,26.6,72,6,NE,9,1012.0,27.0,65,6,NE,20,1010.3
,2013-01-23,21.8,30.3,0,6.4,6.6,NE,37,15:13,26.9,66,6,NNE,9,1012.7,26.9,67,6,NE,24,1010.8
,2013-01-24,24.1,27.3,0.2,6.2,0.0,E,30,12:07,26.1,74,7,ENE,17,1012.6,24.0,87,8,ESE,13,1010.7
,2013-01-25,22.2,27.3,32.2,4.8,0.0,NE,56,11:38,25.9,86,8,ENE,17,1010.2,24.1,93,8,E,17,1008.1
,2013-01-26,23.3,26.2,27.8,1.6,0.0,NE,65,21:25,24.8,93,8,ENE,26,1008.2,25.7,88,8,ENE,26,1006.2
,2013-01-27,23.3,25.8,36.4,2.0,0.0,NE,94,20:14,24.9,88,8,ENE,37,1003.2,24.0,94,8,ENE,41,998.9
,2013-01-28,23.1,28.8,119.5,2.1,3.2,NE,93,08:42,25.7,85,8,NE,46,999.2,27.2,78,7,NNE,39,998.2
,2013-01-29,21.5,31.2,2.2,1.6,13.2,NNE,30,12:53,27.3,78,6,N,19,1004.5,30.1,69,2,NNE,20,1003.6
,2013-01-30,25.3,30.7,2.0,6.8,10.2,SE,52,14:22,29.1,79,5,SE,11,1010.4,26.9,75,4,ESE,28,1010.5
,2013-01-31,23.0,28.6,9.0,7.4,4.6,ENE,28,12:35,25.9,77,7,NE,17,1013.6,27.5,60,7,NE,19,1011.0
,2013-02-1,22.2,29.1,2.4,6.0,8.7,SW,54,22:42,25.2,73,7,NNW,11,1009.6,28.3,58,2,NNE,26,1005.2
,2013-02-2,20.7,30.8,4.0,8.2,12.7,WSW,52,13:19,27.0,53,1,SW,17,1004.8,29.9,30,1,W,31,1003.1
,2013-02-3,19.4,27.0,0,12.2,12.6,SE,35,00:19,23.9,49,1,SSE,9,1011.5,26.0,45,2,E,20,1009.8
,2013-02-4,18.0,28.3,0,9.0,5.7,ESE,48,14:36,23.4,53,7,SSW,13,1017.2,26.3,57,6,ESE,26,1015.7
,2013-02-5,18.3,27.2,0,8.0,9.5,ESE,43,17:24,26.0,52,3,SSE,20,1019.5,24.5,63,7,S,20,1017.6
,2013-02-6,18.4,27.0,7.2,5.0,12.1,ESE,41,20:29,24.0,67,3,SSE,13,1018.0,25.8,59,5,ESE,22,1015.2
,2013-02-7,18.3,25.9,2.8,8.0,6.3,E,37,11:19,21.6,82,7,S,13,1017.4,24.4,57,7,E,13,1015.5
,2013-02-8,19.1,27.3,3.0,4.4,4.9,ESE,35,15:23,24.8,73,7,SE,11,1018.3,25.1,66,7,SE,15,1017.2
,2013-02-9,20.0,27.8,0,5.2,8.7,ENE,37,09:19,26.3,65,5,ENE,22,1018.3,27.3,53,6,E,20,1016.2
,2013-02-10,19.2,28.2,0,7.6,12.5,NNE,28,12:56,25.9,53,3,SE,13,1017.3,27.5,47,1,NE,17,1014.1
,2013-02-11,21.8,28.7,0,9.6,12.2,ESE,35,13:06,26.8,54,5,SE,15,1016.5,27.0,56,3,ESE,20,1014.4
,2013-02-12,19.8,27.9,0,7.4,9.1,ESE,35,14:13,26.2,58,2,ESE,13,1016.6,27.0,58,7,E,20,1015.5
,2013-02-13,18.4,26.8,0,7.2,3.6,ESE,48,13:50,24.7,67,7,S,17,1018.7,26.4,52,7,ESE,24,1017.3
,2013-02-14,19.3,27.9,0.8,5.4,9.5,SE,37,13:45,25.5,61,3,SE,19,1018.2,27.3,59,5,ESE,19,1016.1
,2013-02-15,20.2,27.3,1.2,9.2,3.7,NE,37,10:55,25.4,70,7,SE,17,1017.6,23.7,78,8,ESE,15,1016.0
,2013-02-16,18.7,26.8,27.0,4.0,1.7,ESE,39,16:16,22.6,79,7,SSE,17,1017.6,26.4,60,7,ESE,20,1015.3
,2013-02-17,20.3,26.3,3.2,4.8,5.3,E,41,11:43,24.7,74,7,SSE,19,1017.0,22.9,80,8,ESE,17,1015.8
,2013-02-18,20.3,24.4,8.4,3.4,0.0,E,39,05:30,23.9,78,8,ESE,11,1015.3,23.4,89,8,ESE,15,1012.1
,2013-02-19,20.5,26.1,26.2,2.1,0.0,SE,50,11:34,24.0,78,8,SE,24,1008.9,22.2,93,8,S,22,1006.5
,2013-02-20,20.0,27.8,8.4,3.4,6.6,SSW,41,13:19,25.9,66,3,SSW,26,1007.1,23.9,89,7,SE,13,1006.3
,2013-02-21,20.6,27.0,6.0,3.4,4.6,SSW,50,10:39,25.8,63,4,SSW,26,1008.0,24.1,81,7,S,20,1006.7
,2013-02-22,21.1,29.3,0.8,2.6,5.4,WSW,70,14:56,24.9,62,7,SW,35,1004.6,27.2,49,6,SW,52,1002.2
,2013-02-23,21.2,29.7,0,10.2,12.4,NNE,43,14:19,26.7,51,1,NW,17,1007.1,27.9,67,2,NNE,30,1005.7
,2013-02-24,22.8,28.6,0,6.8,4.8,ENE,33,16:11,27.1,80,7,E,13,1014.7,27.5,76,7,ENE,17,1012.4
,2013-02-25,22.8,25.7,41.2,6.2,0.0,NE,50,11:00,23.9,93,8,ENE,19,1014.8,22.7,95,8,ENE,20,1013.1
,2013-02-26,21.7,26.6,52.0,3.2,0.1,E,50,09:08,25.7,83,8,E,17,1015.6,25.2,77,8,ENE,20,1014.0
,2013-02-27,21.9,27.9,6.8,2.6,8.0,ENE,39,11:01,26.5,69,6,E,19,1015.1,25.6,75,7,E,22,1013.0
,2013-02-28,21.4,27.5,6.2,5.2,5.0,ENE,31,01:43,26.2,61,7,E,15,1012.9,26.0,67,7,N,11,1009.9
,2013-03-1,22.0,25.7,0,4.8,0.0,N,33,18:10,24.4,81,8,NNW,9,1010.1,24.2,89,8,ENE,9,1008.1
,2013-03-2,20.0,23.7,17.6,2.6,0.3,NNE,44,12:02,23.7,90,7,SSW,19,1009.3,21.2,96,8,ESE,15,1009.5
,2013-03-3,20.4,26.0,100.6,1.8,0.3,ENE,41,14:57,22.4,82,8,E,13,1013.3,22.7,90,8,E,22,1011.0
,2013-03-4,21.1,27.3,10.8,2.8,7.6,ENE,46,01:33,26.0,68,4,ESE,20,1014.5,26.2,69,5,ESE,22,1012.7
,2013-03-5,21.6,27.0,0.8,6.8,4.7,ESE,48,13:57,22.8,80,7,SE,22,1016.3,23.6,74,7,ESE,20,1014.9
,2013-03-6,20.5,26.7,2.4,5.6,6.5,E,46,11:44,24.5,63,7,ESE,19,1016.8,25.3,66,6,ESE,20,1015.0
,2013-03-7,19.2,27.0,4.6,5.0,9.9,,,,25.1,65,2,SE,15,1017.1,26.1,59,3,ESE,19,1015.0
,2013-03-8,17.3,27.7,0.6,6.4,6.5,ESE,41,15:48,25.5,60,7,SE,13,1018.8,25.9,68,5,SE,20,1016.2
,2013-03-9,20.1,26.0,8.2,4.2,5.9,ESE,39,15:07,24.5,70,7,ESE,19,1018.4,25.3,65,7,E,15,1016.3
,2013-03-10,19.5,27.4,0.6,6.0,7.5,ESE,35,14:00,23.0,79,7,SSW,13,1017.3,25.8,61,4,ESE,24,1014.8
,2013-03-11,19.6,27.1,0.2,7.0,8.4,ESE,46,14:00,25.4,64,6,SE,20,1016.8,26.3,58,5,ESE,26,1014.9
,2013-03-12,18.5,26.8,1.6,7.0,8.5,SE,44,10:05,24.8,61,4,SE,20,1016.0,24.6,58,6,SE,22,1013.5
,2013-03-13,19.1,27.8,1.0,5.0,8.9,ESE,41,12:52,24.6,62,1,SSE,15,1011.7,25.9,58,6,ESE,22,1008.3
,2013-03-14,16.9,29.2,0,8.0,8.0,SSW,33,08:49,23.9,61,2,SSW,22,1009.3,27.7,52,7,ESE,15,1006.8
,2013-03-15,17.0,27.5,0,4.8,10.5,E,33,17:06,24.9,60,1,SW,19,1013.9,27.1,59,1,ESE,19,1011.9
,2013-03-16,19.1,28.7,0,5.4,11.1,N,30,13:57,25.5,67,1,SSW,13,1015.0,27.0,65,1,NE,20,1011.5
,2013-03-17,19.7,30.0,0,5.2,10.2,SE,54,17:48,25.6,78,0,NNE,9,1010.8,28.5,72,2,NNE,26,1007.3
,2013-03-18,20.9,26.4,0,8.0,7.2,SE,44,11:35,23.6,60,7,SSE,15,1017.5,24.2,64,4,ESE,22,1016.2
,2013-03-19,16.2,26.5,0,7.0,8.4,ESE,41,15:44,24.2,56,4,SE,15,1020.7,24.6,50,7,ESE,20,1019.2
,2013-03-20,20.1,26.2,1.0,8.4,1.2,ESE,41,11:53,23.8,65,7,ESE,20,1022.3,20.3,91,7,SE,17,1020.0
,2013-03-21,18.9,26.6,3.4,2.6,5.6,ENE,33,13:47,24.5,68,5,SE,11,1020.9,25.0,66,7,ENE,20,1018.0
,2013-03-22,20.9,28.2,0.6,5.0,4.9,NE,30,18:37,24.0,82,7,S,11,1021.0,25.4,77,7,NE,20,1017.5
,2013-03-23,21.1,28.7,0,4.0,8.6,N,35,16:38,25.5,73,7,NW,11,1019.2,27.0,67,1,NNE,24,1014.8
,2013-03-24,22.7,29.2,0,5.8,6.7,SSW,63,18:18,26.6,76,6,NNW,9,1017.6,27.8,71,7,NNE,22,1013.6
,2013-03-25,18.7,29.5,22.0,8.8,10.3,ENE,28,16:54,25.3,76,4,NW,2,1017.3,28.5,59,1,ENE,15,1014.4
,2013-03-26,20.9,27.4,0,4.8,10.8,ENE,28,12:22,25.5,69,3,SE,9,1019.6,26.7,59,3,E,13,1016.7
,2013-03-27,21.1,27.2,0.4,5.6,9.3,ENE,33,10:44,25.9,69,6,ENE,15,1020.1,25.8,68,2,ENE,19,1017.5
,2013-03-28,19.5,26.5,4.4,5.6,9.6,ENE,26,02:23,24.6,78,6,SSE,4,1020.0,26.0,59,3,ENE,13,1016.6
,2013-03-29,18.2,29.4,0,5.4,6.8,ESE,35,15:11,24.7,66,1,W,9,1015.7,29.0,48,5,S,13,1012.9
,2013-03-30,21.2,25.6,0,6.2,3.0,SE,30,10:46,23.4,70,7,SE,11,1017.0,25.3,62,2,E,15,1013.8
,2013-03-31,17.4,26.9,0,3.8,4.7,WSW,57,17:49,24.2,71,5,N,11,1014.6,24.2,80,8,N,17,1011.1
,2013-04-1,17.9,25.9,20.8,5.6,5.9,,,,22.4,76,6,SW,15,1014.6,23.7,66,7,ESE,15,1012.4
,2013-04-2,17.4,26.5,0,3.2,8.0,,,,23.3,63,1,S,15,1015.2,25.3,58,4,E,15,1012.9
,2013-04-3,18.7,26.4,0,3.6,6.5,,,,23.6,69,2,SSW,11,1017.6,25.4,57,3,NE,19,1015.7
,2013-04-4,17.9,25.8,0,4.4,8.4,SE,43,13:13,21.8,68,7,SSE,13,1023.2,24.2,55,5,SE,19,1021.2
,2013-04-5,17.9,25.5,32.6,8.6,9.2,,,,22.6,64,2,SSE,17,1025.2,24.2,49,4,ESE,22,1023.2
,2013-04-6,16.8,24.7,2.4,6.4,2.7,E,33,15:27,21.1,79,7,S,11,1024.2,22.8,61,8,SE,17,1020.6
,2013-04-7,17.1,24.2,2.0,4.8,3.1,SE,31,12:10,20.1,77,7,SSW,13,1022.1,22.2,71,7,ESE,17,1019.4
,2013-04-8,16.2,23.6,3.6,1.6,5.5,ESE,35,10:38,20.6,79,7,SSE,11,1022.5,23.5,70,7,ESE,15,1020.6
,2013-04-9,15.9,24.6,4.8,3.2,8.8,E,37,14:43,21.8,70,6,S,17,1023.3,23.2,69,6,ENE,20,1020.2
,2013-04-10,16.5,22.9,1.2,5.2,2.1,S,37,09:11,20.5,85,7,S,19,1021.3,22.3,68,7,SE,13,1018.9
,2013-04-11,16.5,25.2,0.4,7.0,6.4,SE,44,13:43,22.9,68,3,S,15,1020.8,23.2,61,7,SE,17,1019.3
,2013-04-12,18.4,23.3,3.8,2.2,1.7,ESE,44,15:16,22.2,71,8,SE,13,1020.6,22.0,71,7,ESE,17,1017.6
,2013-04-13,18.9,22.1,36.6,4.3,0.0,,,,20.5,96,8,SSW,13,1016.6,20.5,92,8,SSE,19,1013.1
,2013-04-14,17.1,26.2,22.2,2.6,8.1,SW,31,08:03,22.0,71,1,SSW,20,1013.7,24.5,65,7,ENE,11,1011.0
,2013-04-15,16.8,25.9,0,1.8,7.2,,,,21.5,84,7,SSW,11,1012.9,24.1,69,5,NNE,15,
,2013-04-16,17.2,26.0,0,2.6,6.0,,,,21.6,86,5, ,Calm,1013.4,23.8,76,7,NNE,15,1010.7
,2013-04-17,15.6,25.4,4.0,2.6,9.8,,,,21.9,72,1,S,2,1015.4,24.3,63,1,ENE,13,1012.0
,2013-04-18,15.7,28.8,15.2,7.0,9.0,NNE,37,13:03,22.3,78,1,NW,11,1015.0,25.1,77,5,NNE,20,1010.8
,2013-04-19,12.4,27.4,0,4.2,10.4,,,,21.1,54,1,WSW,9,1012.9,27.2,27,2,WSW,22,1009.0
,2013-04-20,13.5,24.9,0,6.8,10.7,WSW,37,13:36,19.8,46,2,SW,13,1011.7,24.3,23,1,SW,24,1008.2
,2013-04-21,11.0,24.2,0,6.4,10.8,SSW,26,08:18,19.6,52,1,SSW,19,1014.1,23.3,53,2,ENE,13,1011.5
,2013-04-22,14.0,24.6,0,3.2,10.2,NNE,39,15:59,20.6,73,5,WSW,6,1014.7,24.0,62,1,NNE,28,1010.4
,2013-04-23,15.6,27.6,0,6.0,10.1,N,24,14:04,22.4,72,1,SSW,7,1013.3,24.7,71,5,NNE,13,1010.9
,2013-04-24,16.6,25.6,0,3.2,10.5,ESE,30,11:32,22.5,68,1,SSW,13,1018.2,24.7,55,1,ENE,15,1016.0
,2013-04-25,15.5,26.6,0,4.0,10.5,SSW,22,06:21,21.9,70,1,SSW,15,1020.5,25.2,57,1,NE,15,1017.5
,2013-04-26,14.7,25.3,0,3.2,10.0,ESE,26,11:08,21.8,68,2,SSW,15,1022.4,23.7,62,7,E,17,1020.6
,2013-04-27,15.2,25.2,0,4.0,9.0,SE,26,15:02,21.5,71,3,SSW,11,1023.2,24.3,47,6,ESE,13,1019.9
,2013-04-28,13.9,25.8,0,3.8,10.6,SSW,28,08:07,20.2,71,1,SSW,19,1022.1,25.0,52,1,NNE,17,1019.1
,2013-04-29,15.4,26.0,0,4.0,10.4,SW,28,08:40,21.7,70,1,SSW,20,1023.4,25.3,51,1,NE,15,1021.5
,2013-04-30,16.5,25.6,2.8,4.0,7.4,NE,28,13:20,19.1,93,7,S,11,1023.5,24.8,61,1,ENE,15,1021.0
,2013-05-1,15.5,25.8,0.4,3.6,8.6,SSW,26,08:17,21.6,72,2,SSW,17,1021.0,23.8,68,5,NE,15,1017.5
,2013-05-2,15.2,26.3,0,3.2,8.5,,,,20.7,81,0,SSW,11,1018.7,23.3,71,3,ESE,26,1017.7
,2013-05-3,16.2,23.5,0,5.4,9.6,,,,20.2,59,2,SSW,13,1025.1,22.2,48,3,ESE,19,1021.6
,2013-05-4,11.9,27.6,0,4.8,10.1,W,33,12:22,20.0,67,1,WNW,11,1021.7,27.4,34,1,W,17,1016.1
,2013-05-5,15.6,23.5,0,4.8,7.0,ESE,33,11:50,21.1,66,5,S,13,1021.7,22.5,66,5,ESE,19,1018.5
,2013-05-6,14.5,23.5,0,2.6,7.8,ESE,37,13:28,21.0,69,3,SSE,13,1022.9,21.4,66,4,ESE,19,1020.3
,2013-05-7,13.5,23.4,2.4,4.4,8.4,ESE,33,13:13,19.0,72,3,SSW,17,1025.4,21.5,63,7,ESE,20,1023.2
,2013-05-8,14.6,23.4,0.4,4.4,9.1,SSE,35,08:41,20.5,60,5,SSE,17,1028.1,22.5,45,3,SE,17,1025.6
,2013-05-9,12.6,23.4,0.2,5.0,7.5,SE,33,14:16,18.5,72,5,SSW,13,1028.6,22.1,52,3,SSE,17,1025.3
,2013-05-10,14.9,22.4,3.4,3.4,4.8,SE,33,14:08,16.8,90,6,SSW,17,1027.5,22.2,59,4,ESE,20,1025.0
,2013-05-11,12.8,21.8,2.0,2.4,3.0,SE,39,12:32,18.2,78,6,SSW,20,1026.5,17.7,92,8,SSE,13,1024.0
,2013-05-12,14.0,23.2,4.0,2.2,6.5,SE,31,14:21,16.9,94,7,SSW,19,1025.5,19.6,84,6,S,7,1022.2
,2013-05-13,15.5,22.5,2.0,2.4,2.7,SW,22,01:18,18.9,91,6,SSW,13,1020.5,21.3,75,7,ENE,2,1016.5
,2013-05-14,17.4,23.8,0.8,1.2,4.2,NNW,26,14:31,18.5,95,8,SSE,6,1014.6,22.5,62,7,NNW,13,1010.6
,2013-05-15,12.9,22.5,1.8,2.6,9.4,SW,33,01:20,19.1,49,7,SW,22,1014.9,21.9,31,7,WSW,15,1012.3
,2013-05-16,14.0,18.0,0,4.0,0.0,NW,26,15:11,16.6,59,7,W,9,1015.2,16.0,73,7,NW,15,1012.7
,2013-05-17,9.5,23.2,0,1.6,10.2,WSW,52,13:19,17.6,60,0,NNW,9,1016.9,22.9,31,1,W,20,1013.0
,2013-05-18,8.1,22.4,0,5.2,10.2,SW,50,14:19,17.2,49,0,SW,7,1017.1,21.9,28,1,WSW,33,1012.7
,2013-05-19,7.9,21.2,0,5.4,10.1,,,,16.2,38,0,SW,26,1018.5,20.6,26,0,WSW,24,1015.1
,2013-05-20,7.3,21.7,0,5.0,9.6,WSW,26,02:37,14.7,54,6,WSW,11,1019.4,21.3,28,1,NNE,9,1015.3
,2013-05-21,7.5,22.1,0,3.6,6.0,SSW,26,09:07,16.2,44,7,SW,19,1019.3,20.3,37,7,NE,9,1015.4
,2013-05-22,12.3,17.9,0,1.8,0.0,NNE,37,17:51,15.5,68,8,SW,13,1015.6,14.5,83,8,SSW,20,1012.6
,2013-05-23,11.1,21.4,4.6,0.4,10.0,W,43,12:22,17.1,71,2,WSW,17,1010.1,20.7,45,3,WSW,24,1007.4
,2013-05-24,9.4,21.1,0,7.0,7.3,SW,63,14:27,16.9,60,1,W,19,1010.4,17.8,54,7,SW,35,1008.7
,2013-05-25,13.9,23.5,0.8,4.8,8.3,SSW,57,00:28,19.1,51,1,SSW,22,1018.0,21.7,45,7,SSW,20,1017.8
,2013-05-26,11.3,23.1,0,4.6,8.2,SSW,33,11:30,17.4,54,2,SSW,22,1024.4,21.5,53,4,ESE,15,1021.3
,2013-05-27,12.0,23.1,0,3.2,9.2,SE,35,13:16,18.1,62,1,SSW,24,1025.6,21.8,42,1,ESE,19,1023.9
,2013-05-28,14.5,21.4,0,4.0,3.8,E,37,23:40,18.3,73,3,S,15,1028.1,18.6,84,7,SSE,11,1026.6
,2013-05-29,14.6,22.6,7.4,3.2,6.3,ENE,39,13:42,19.6,71,7,SSE,11,1030.2,19.9,76,6,E,19,1028.0
,2013-05-30,12.9,20.3,3.8,3.0,1.8,ENE,33,11:12,17.3,91,6,SSW,9,1028.3,18.5,89,7,SE,9,1026.4
,2013-05-31,13.5,22.3,43.8,3.8,8.5,ESE,35,12:09,19.0,87,6,SSE,13,1027.8,21.6,62,5,E,15,1025.0
,2013-06-1,13.4,21.7,0.2,4.0,0.9,SSW,24,04:00,16.8,85,7,SSW,15,1024.1,21.0,61,7,ESE,7,1019.2
,2013-06-2,15.1,24.8,0,1.8,5.3,WSW,50,14:20,20.1,73,7,N,15,1014.1,20.4,82,7,WSW,15,1008.9
,2013-06-3,11.2,21.4,0.6,3.2,10.1,SW,39,12:25,17.4,55,1,SSW,19,1016.1,20.9,32,1,S,17,1015.6
,2013-06-4,8.9,22.4,0,4.0,9.8,SSW,33,08:51,16.1,51,0,SSW,26,1023.8,21.3,52,4,ESE,9,1021.6
,2013-06-5,11.8,20.0,0,2.4,0.2,SSW,22,03:04,14.9,86,8,SSW,13,1026.0,19.0,83,7,ENE,6,1023.4
,2013-06-6,13.3,21.8,0.6,1.0,1.6,SW,24,06:10,17.4,84,7,SW,15,1026.6,21.3,51,7,E,4,1023.3
,2013-06-7,15.1,23.7,0,2.2,3.3,SSW,24,09:26,18.6,72,7,SSW,15,1025.4,22.6,58,6,NNE,9,1021.9
,2013-06-8,12.9,22.7,0,1.8,2.6,S,35,20:27,16.6,82,7,SSW,15,1026.0,19.6,79,8,SSE,15,1023.9
,2013-06-9,16.5,21.8,13.6,0.6,1.3,SE,37,12:03,17.4,91,7,S,15,1025.8,20.8,54,7,SE,17,1022.8
,2013-06-10,15.6,18.7,7.8,4.2,0.0,SSE,22,00:23,16.8,97,8,SSE,9,1022.3,18.3,96,8,SW,13,1019.6
,2013-06-11,15.3,22.6,25.6,6.0,3.7,WSW,17,09:36,18.1,89,7,SSW,11,1020.3,22.1,70,5,ENE,9,1017.5
,2013-06-12,16.0,21.8,0.6,0.0,1.5,N,54,21:33,18.0,97,8,SSW,9,1018.1,20.3,89,6,NE,9,1013.8
,2013-06-13,16.0,23.0,14.0,1.6,1.7,N,24,15:34,19.6,91,6, ,Calm,1012.3,21.2,82,7,N,13,1009.4
,2013-06-14,13.4,20.9,0,2.0,10.0,WSW,41,09:56,17.5,55,1,W,22,1011.5,20.4,43,1,W,24,1008.4
,2013-06-15,10.4,19.4,0,4.0,9.9,WSW,56,10:12,15.8,54,1,WSW,31,1011.8,18.5,45,1,W,35,1011.2
,2013-06-16,8.7,20.5,0,5.8,9.8,SW,26,02:13,14.4,65,1,SSW,9,1015.0,19.3,50,1,NE,11,1011.3
,2013-06-17,7.5,19.7,0,2.2,9.8,WSW,44,12:07,14.6,54,1,WSW,9,1011.8,19.4,33,1,W,30,1008.2
,2013-06-18,5.8,19.3,0,4.6,9.8,WSW,31,08:34,14.0,48,1,WSW,24,1014.0,18.9,27,1,WSW,19,1011.4
,2013-06-19,6.7,18.6,0,3.0,9.1,SW,41,10:20,14.0,44,1,WSW,20,1018.0,17.6,31,4,SSE,13,1016.2
,2013-06-20,11.5,19.3,0,4.8,1.0,SSW,28,08:50,15.0,56,7,SSW,19,1020.6,19.1,54,7,SSE,13,1017.7
,2013-06-21,12.1,13.3,2.8,2.2,0.0,SSW,26,12:07,12.7,93,8,SSW,15,1019.5,13.2,93,8,SSW,11,1017.5
,2013-06-22,9.1,19.4,7.8,0.2,9.2,SSW,31,10:05,12.6,87,1,SSW,19,1021.6,19.0,54,3,E,6,1019.3
,2013-06-23,8.6,20.9,0,2.6,8.0,SW,31,09:07,14.3,68,3,SSW,22,1024.6,19.0,60,5,ESE,17,1021.2
,2013-06-24,9.2,20.8,0,2.6,9.6,W,35,13:41,15.1,76,2,SW,15,1022.0,19.7,32,2,WNW,19,1017.7
,2013-06-25,4.8,18.5,0,3.2,8.3,WSW,52,11:42,13.2,57,1, ,Calm,1018.9,18.1,31,3,W,24,1013.6
,2013-06-26,5.9,19.6,0,5.0,10.1,SW,31,09:27,13.3,56,1,WSW,20,1016.7,19.1,32,1,WSW,19,1013.2
,2013-06-27,9.7,20.5,0,2.4,3.3,SW,30,11:19,17.4,70,6,SW,17,1018.2,17.4,87,8,SSE,11,1016.0
,2013-06-28,14.7,19.9,0.2,0.8,2.1,ESE,31,14:54,16.8,79,7,SSW,19,1020.4,17.8,83,6,ESE,20,1017.8
,2013-06-29,14.2,20.0,3.2,1.6,0.0,ESE,31,13:15,15.2,93,7,SSW,13,1021.5,18.5,75,7,SE,13,1018.8
,2013-06-30,13.6,16.5,3.0,0.6,0.1,SSW,35,11:04,14.9,89,8,SSW,15,1019.6,15.3,85,7,SSW,20,1016.9
,2013-07-1,12.8,17.3,7.6,0.8,0.8,SSW,52,10:28,14.8,91,7,SSW,33,1013.6,16.2,89,8,SW,28,1010.1
,2013-07-2,14.5,21.9,37.6,1.2,3.7,SSW,46,03:12,17.1,83,7,SSW,24,1014.8,21.1,63,5,SSW,22,1014.6
,2013-07-3,14.7,22.5,0,2.0,8.5,SW,33,08:16,18.3,69,2,SSW,20,1022.0,21.6,64,3,ESE,15,1020.8
,2013-07-4,16.1,22.8,0.2,3.0,8.9,NE,20,12:36,19.3,75,3,SSW,11,1022.0,21.2,57,5,NE,13,1017.6
