,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2014-02-10,21.7,28.0,0,5.0,5.1,ENE,35,15:56,25.1,66,7,SE,9,1016.8,27.6,55,4,ENE,19,1014.7
,2014-02-11,20.4,28.2,0,7.2,10.7,NE,31,13:46,26.4,51,6,ESE,13,1016.5,26.9,51,6,NE,20,1013.7
,2014-02-12,17.9,28.4,0,8.0,12.1,E,31,12:01,26.3,54,3,ESE,11,1016.2,27.3,50,1,ENE,15,1013.9
,2014-02-13,20.0,30.2,0,7.0,11.2,ENE,37,15:48,26.6,59,1,SW,7,1015.0,28.3,56,1,NE,26,1011.4
,2014-02-14,21.2,29.4,0,8.4,6.4,NNE,46,15:44,25.9,66,6,NNW,13,1010.8,27.1,64,6,NNE,33,1006.0
,2014-02-15,22.6,30.7,0,8.0,8.7,N,56,21:07,26.2,63,7,N,15,1006.8,28.3,68,4,NNE,35,1002.7
,2014-02-16,24.0,30.8,0,9.4,12.0,NNE,59,21:03,28.6,63,6,N,24,1006.6,29.2,70,1,NNE,39,1002.0
,2014-02-17,23.8,32.6,0,10.8,9.7,ESE,44,13:20,28.7,63,1,N,19,1009.6,27.5,72,4,ESE,24,1008.8
,2014-02-18,23.7,29.9,4.2,7.8,9.3,N,35,23:56,26.3,83,6,SE,9,1012.1,29.4,60,2,NE,19,1008.5
,2014-02-19,23.2,30.9,0,7.4,11.7,NNE,56,21:07,27.6,59,1,N,13,1009.6,29.1,66,1,NNE,33,1005.6
,2014-02-20,25.5,32.1,0,9.0,7.9,N,44,00:17,29.0,69,6,N,24,1009.7,29.2,69,1,NNE,31,1007.5
,2014-02-21,24.1,32.5,0,9.6,9.1,ESE,41,19:40,28.8,68,6,S,9,1012.0,29.3,67,4,ESE,26,1010.1
,2014-02-22,23.7,27.1,0.2,8.2,0.0,ESE,41,11:48,25.5,65,7,SSE,17,1015.3,24.6,65,7,SE,20,1015.0
,2014-02-23,21.9,29.2,0,8.0,10.0,SE,50,11:35,25.9,47,6,SE,24,1017.6,26.9,47,3,ESE,28,1015.8
,2014-02-24,19.7,28.3,0.4,8.4,7.8,ESE,37,14:27,25.8,58,1,SE,17,1017.9,27.7,39,4,ESE,20,1015.5
,2014-02-25,19.1,28.5,4.6,9.2,8.4,ENE,35,13:15,25.9,58,4,SE,15,1016.8,26.4,58,6,ENE,20,1013.7
,2014-02-26,18.1,28.4,0,8.4,10.7,NNE,31,12:35,25.2,63,4,SE,9,1016.1,27.7,51,2,NE,20,1013.2
,2014-02-27,19.1,29.3,0,7.2,12.2,NNE,35,14:42,26.0,53,2,ESE,9,1016.6,27.7,47,1,NE,24,1013.9
,2014-03-1,19.8,28.7,0.6,8.0,10.2,ENE,33,13:17,26.2,52,3,E,15,1016.0,27.0,59,2,ENE,24,1013.6
,2014-03-2,19.3,29.5,0,7.4,10.0,ENE,35,13:10,27.0,55,2,ESE,15,1016.3,28.3,47,3,E,19,1014.7
,2014-03-3,23.0,27.7,0,9.4,6.4,SE,48,12:31,24.3,74,6,SSE,17,1021.1,24.6,68,6,E,19,1019.8
,2014-03-4,19.8,27.6,5.8,7.0,8.3,ENE,39,15:48,23.9,67,5,SSE,11,1023.0,26.6,50,6,ESE,17,1020.6
,2014-03-5,19.0,26.9,3.2,6.6,5.1,NE,33,13:45,21.0,90,7,S,13,1019.9,25.9,51,3,ENE,20,1016.4
,2014-03-6,16.6,27.9,0.2,5.0,11.7,ENE,33,14:32,25.6,51,2,SE,13,1018.5,27.2,49,3,ENE,20,1016.6
,2014-03-7,17.7,28.0,0,8.4,6.3,E,33,10:18,24.7,61,6,ESE,13,1019.7,27.1,47,3,ENE,22,1017.7
,2014-03-8,20.0,28.2,0.2,6.4,10.3,SE,39,12:37,25.4,56,4,ESE,19,1020.0,26.1,48,5,ESE,24,1018.2
,2014-03-9,20.3,27.8,1.8,9.6,1.9,ENE,39,12:17,25.2,60,7,E,17,1020.1,22.6,72,7,SE,13,1018.1
,2014-03-10,20.4,27.4,5.0,7.0,7.3,ESE,43,13:11,24.8,68,5,SSE,11,1019.9,26.3,46,7,SE,22,1018.2
,2014-03-11,19.2,27.5,2.4,8.8,7.9,SE,39,13:30,21.9,86,7,SE,7,1020.2,26.1,52,2,SE,19,1017.7
,2014-03-12,18.5,28.4,0,7.0,10.4,SE,31,11:59,25.3,61,3,S,17,1018.3,27.0,49,2,E,17,1015.5
,2014-03-13,17.2,27.9,0,7.8,11.0,ESE,37,13:47,26.4,55,3,SE,13,1018.3,26.7,53,2,ESE,22,1015.8
,2014-03-14,17.9,27.5,0,8.0,8.4,ESE,35,09:39,25.6,55,3,SE,13,1017.2,26.8,49,3,ESE,20,1014.2
,2014-03-15,18.3,28.6,1.0,6.6,11.1,N,35,21:45,25.0,59,3,SW,9,1015.8,26.8,56,1,NNE,22,1011.6
,2014-03-16,17.9,29.8,0,6.8,10.4,NNE,52,15:25,25.3,60,1,N,17,1014.5,28.4,65,1,NNE,37,1008.5
,2014-03-17,20.3,30.0,0.2,8.4,10.7,ESE,39,13:41,27.7,59,1,N,6,1016.0,28.1,61,1,ESE,20,1014.2
,2014-03-18,24.2,30.2,0,7.6,8.8,N,28,13:04,27.5,75,7,ENE,13,1021.0,28.4,67,1,NNE,17,1018.7
,2014-03-19,23.1,29.1,0.2,6.6,8.7,NE,31,11:25,26.4,68,7,ENE,15,1022.0,27.6,57,2,ENE,24,1019.3
,2014-03-20,22.6,28.6,0.4,9.6,10.4,ESE,43,15:40,26.8,54,5,E,20,1022.0,25.5,67,5,ESE,19,1019.5
,2014-03-21,21.5,27.9,4.0,7.8,8.7,ENE,33,12:17,26.1,60,6,E,19,1019.7,27.1,55,2,ENE,19,1016.6
,2014-03-22,19.4,27.8,0,6.2,9.9,ENE,30,13:46,25.8,65,6,SSE,9,1018.1,27.1,59,1,NE,20,1015.6
,2014-03-23,18.3,29.0,0,7.0,10.8,ENE,33,15:07,25.2,67,7,S,9,1018.1,27.1,61,2,ENE,22,1014.4
,2014-03-24,19.8,29.0,0,5.2,5.2,NE,31,12:29,26.0,65,6,NNW,7,1015.9,26.7,62,7,NE,20,1012.9
,2014-03-25,19.7,25.4,5.0,5.0,1.1,NNW,39,00:31,24.5,75,7,SE,9,1018.0,25.1,73,8,NE,15,1016.7
,2014-03-26,21.8,27.1,5.6,3.4,0.0,ENE,46,14:06,25.4,72,8,ENE,28,1019.1,25.6,69,7,ENE,28,1017.5
,2014-03-27,22.4,,3.4,3.0,,,,,23.9,85,8,E,17,1020.2,23.3,90,8,NE,30,1016.2
