,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2012-01-1,16.1,26.5,0.4,5.6,13.1,E,41,15:20,23.6,53,4,S,13,1016.3,25.3,45,3,ESE,22,1014.2
,2012-01-2,15.8,27.7,0,8.0,13.0,SE,33,13:02,24.6,50,2,SE,15,1018.1,25.9,49,2,SE,17,1016.0
,2012-01-3,17.5,26.9,0,9.4,12.1,ENE,31,10:55,23.7,62,7,SE,11,1019.4,25.8,52,1,ENE,20,1017.0
,2012-01-4,17.2,27.7,0,7.6,12.7,NNE,33,17:51,25.0,49,2,ESE,9,1017.4,26.6,54,2,NE,22,1013.2
,2012-01-5,19.6,27.6,0,7.8,6.6,ENE,35,10:57,23.7,77,7,S,7,1015.7,25.9,57,3,ENE,19,1013.4
,2012-01-6,18.5,28.8,0,7.2,8.3,NE,31,14:23,24.5,62,7,N,13,1012.2,27.8,56,2,NE,22,1009.8
,2012-01-7,21.5,27.6,0,7.0,5.8,E,31,11:27,23.5,75,7,SE,13,1015.0,25.6,64,5,ENE,17,1012.9
,2012-01-8,22.8,29.1,0,6.4,11.6,NNE,43,18:21,26.4,67,2,N,15,1013.2,27.5,64,1,NNE,31,1009.3
,2012-01-9,23.4,30.6,0,8.0,12.7,NNE,46,12:15,27.8,62,2,N,26,1008.0,29.6,69,2,NE,31,1003.7
,2012-01-10,23.8,31.0,0,9.0,10.6,ESE,37,14:42,29.6,63,6,E,17,1008.8,29.2,58,1,ESE,22,1005.8
,2012-01-11,22.3,35.9,0,7.6,11.9,NNE,43,16:33,30.4,39,7,SSW,6,1007.6,32.8,34,5,NE,22,1003.4
,2012-01-12,21.1,27.2,0,12.4,9.6,E,43,14:50,26.4,51,4,E,20,1012.2,25.7,49,5,ESE,26,1011.6
,2012-01-13,21.0,27.4,0,10.6,9.7,ENE,35,12:03,26.1,47,5,ENE,19,1016.5,25.8,50,5,ENE,22,1013.8
,2012-01-14,20.0,27.4,0,8.0,3.1,NE,30,13:11,25.5,54,7,NE,17,1015.5,25.7,53,7,ENE,17,1012.7
,2012-01-15,21.9,27.0,0,7.2,2.8,E,44,02:15,24.7,63,7,ESE,17,1014.5,24.7,60,7,E,19,1013.1
,2012-01-16,20.0,23.9,7.4,3.6,0.2,E,48,16:00,21.8,86,7,E,19,1016.0,22.2,87,7,SSE,19,1015.0
,2012-01-17,19.4,26.5,37.8,3.6,0.0,ESE,37,12:44,21.5,91,7,ESE,17,1016.1,22.5,88,7,SE,17,1013.6
,2012-01-18,19.2,28.5,9.2,1.6,7.5,E,30,11:54,26.0,64,2,SSE,13,1012.6,27.9,70,7,NE,22,1010.9
,2012-01-19,20.1,29.4,0,5.0,12.3,ESE,44,18:22,26.2,67,3,E,11,1014.0,27.5,64,2,ESE,22,1012.2
,2012-01-20,19.9,28.8,0,10.0,8.8,E,46,14:03,25.7,67,7,ESE,17,1013.7,27.2,65,4,ESE,26,1011.8
,2012-01-21,18.8,28.1,0,7.6,9.7,ESE,44,14:33,26.6,56,3,SSE,13,1012.3,25.9,65,7,ESE,26,1010.6
,2012-01-22,20.9,28.6,0,8.0,9.7,ESE,41,14:39,26.8,61,7,SE,17,1014.2,27.4,58,7,ESE,22,1012.4
,2012-01-23,20.8,26.7,0.4,6.6,0.5,ESE,41,11:13,25.6,72,7,ESE,17,1013.6,21.8,93,8,S,13,1012.8
,2012-01-24,21.0,23.1,44.6,2.2,0.0,ENE,46,18:20,22.7,94,8,E,17,1011.9,22.2,95,8,ESE,20,1009.6
,2012-01-25,21.0,25.7,174.6,2.6,0.7,N,44,18:42,22.9,96,8,SSW,6,1008.6,23.8,93,8,NNE,24,1005.9
,2012-01-26,21.5,28.9,7.6,2.0,5.8,NNE,30,13:41,25.5,85,6,N,7,1008.3,27.5,82,7,NE,17,1006.5
,2012-01-27,22.8,24.8,14.4,3.2,0.0,E,44,14:11,23.9,92,8,ENE,6,1011.3,23.6,96,8,ESE,19,1009.5
,2012-01-28,22.3,26.5,14.2,2.2,0.0,E,35,17:15,22.4,86,8,ENE,20,1011.8,24.0,88,8,E,17,1009.6
,2012-01-29,22.0,26.6,24.2,4.6,0.0,,,,23.8,91,8,E,13,1010.4,25.7,78,8,ENE,20,1008.0
,2012-01-30,22.7,28.2,11.8,2.2,6.6,NNE,37,11:28,26.2,82,6,NE,17,1009.6,27.2,76,5,NNE,30,1007.0
